:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,11
:ALARM_NAME,"1_MSAPシード剥離_ALM"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,11
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,0
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,121,"酸洗浄槽HH",R,2023/04/12 20:40:05,2023/04/12 20:40:21,****/**/** **:**:**,1,1
0,0,145,"水洗9槽LL",R,2023/04/12 21:34:51,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,144,"水洗8槽LL",R,2023/04/12 21:34:59,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,143,"水洗7槽LL",R,2023/04/12 21:35:01,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,141,"水洗6槽LL",R,2023/04/12 21:35:25,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,135,"水洗1槽LL",R,2023/04/12 21:35:37,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,140,"水洗5槽LL",R,2023/04/12 21:35:37,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,139,"水洗4槽LL",R,2023/04/12 21:35:43,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,137,"水洗3槽LL",R,2023/04/12 21:35:49,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,136,"水洗2槽LL",R,2023/04/12 21:35:51,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,133,"水ｶｰﾃﾝ槽LL",R,2023/04/12 21:36:03,2023/04/13 06:01:31,****/**/** **:**:**,1,1
0,0,66,"ｴｯﾁﾝｸﾞ槽温度下限異常",R,2023/04/13 06:03:15,2023/04/13 06:03:19,****/**/** **:**:**,1,1
0,0,113,"上流装置受け入れ搬送異常",R,2023/04/13 06:58:25,2023/04/13 06:58:49,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/13 07:51:49,2023/04/13 09:36:07,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/13 07:51:51,2023/04/13 09:36:07,****/**/** **:**:**,1,1
0,0,66,"ｴｯﾁﾝｸﾞ槽温度下限異常",R,2023/04/13 15:30:47,2023/04/13 15:30:51,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/13 16:18:53,2023/04/13 16:19:17,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/13 16:57:29,2023/04/13 16:59:03,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/13 16:57:39,2023/04/13 16:59:03,****/**/** **:**:**,1,1
0,0,145,"水洗9槽LL",R,2023/04/13 21:27:36,2023/04/14 06:03:46,****/**/** **:**:**,1,1
0,0,144,"水洗8槽LL",R,2023/04/13 21:27:44,2023/04/14 06:03:46,****/**/** **:**:**,1,1
0,0,143,"水洗7槽LL",R,2023/04/13 21:27:48,2023/04/14 06:03:46,****/**/** **:**:**,1,1
0,0,141,"水洗6槽LL",R,2023/04/13 21:28:14,2023/04/14 06:03:46,****/**/** **:**:**,1,1
0,0,140,"水洗5槽LL",R,2023/04/13 21:28:26,2023/04/14 06:03:46,****/**/** **:**:**,1,1
0,0,139,"水洗4槽LL",R,2023/04/13 21:28:28,2023/04/14 06:03:46,****/**/** **:**:**,1,1
0,0,135,"水洗1槽LL",R,2023/04/13 21:28:36,2023/04/14 06:03:46,****/**/** **:**:**,1,1
0,0,137,"水洗3槽LL",R,2023/04/13 21:28:46,2023/04/14 06:03:46,****/**/** **:**:**,1,1
